parusava_id,name,upazila_id
30355150,KOTALIPARA,303551
30355865,MUKSUDPUR,303558
30359175,TUNGIPARA,303591
30390710,BAKSHIGANJ,303907
30391516,DEWANGANJ,303915
30392933,ISLAMPUR,303929
30393650,JAMALPUR,303936
30395860,MADARGANJ,303958
30396167,MELANDAHA,303961
30398583,SARISHABARI,303985
30480625,BAJITPUR,304806
30481150,BHAIRAB,304811
30482762,HOSSAINPUR,304827
30484266,KARIMGANJ,304842
30484570,KATIADI,304845
30484975,KISHOREGANJ,304849
30485488,KULIAR CHAR,304854
30487992,PAKUNDIA,304879
30544025,KALKINI,305440
30545450,MADARIPUR,305454
30548068,RAJOIR,305480
30548775,SHIBCHAR,305487
30564650,MANIKGANJ,305646
30568287,SINGAIR,305682
30595633,MIRKADIM,305956
30595666,MUNSHIGANJ,305956
30611311,BHALUKA,306113
30612018,FULBARIA,306120
30612222,GAFFARGAON,306122
30612333,GAURIPUR,306123
30613144,ISHWARGANJ,306131
30615255,MYMENSINGH,306152
30616566,MUKTAGACHHA,306165
30617277,NANDAIL,306172
30618183,PHULPUR,306181
30619488,TRISHAL,306194
30670215,ARAIHAZAR,306702
30670235,GOPALDI,306702
30670466,SONARGAON,306704
30675844,NARAYANGANJ,306758
30676833,KANCHAN,306768
30676877,TARABO,306768
30685237,MANOHARDI,306852
30686025,MADHABDI,306860
30686050,NARSINGDI,306860
30686315,GHORASHAL,306863
30686480,ROYPURA,306864
30687687,SHIBPUR,306876
30721820,DURGAPUR,307218
30724740,KENDUA,307247
30725650,MADAN,307256
30726360,MOHANGANJ,307263
30727480,NETROKONA,307274
30822922,GOALANDAGHAT,308229
30827333,PANGSHA,308273
30827666,RAJBARI,308276
30861416,BHEDARGANJ,308614
30862533,DAMUDYA,308625
30866550,NARIA,308665
30866966,SHARIATPUR,308669
30869483,ZANJIRA,308694
30896722,NAKLA,308967
30897033,NALITABARI,308970
30898866,SHERPUR,308988
30899077,SREEBARDI,308990
30930908,BASAIL,309309
30931912,BHUAPUR,309319
30932525,DHANBARI,309325
30932837,GHATAIL,309328
30933850,GOPALPUR,309338
30934730,ELENGA,309347
30934762,KALIHATI,309347
30935775,MADHUPUR,309357
30936670,MIRZAPUR,309366
30938580,SAKHIPUR,309385
30939587,TANGAIL,309395
20031450,BANDARBAN,200314
20035162,LAMA,200351
20120222,AKHAURA,201202
20121366,BRAHMANBARIA,201213
20126376,KASBA,201263
20128588,NABINAGAR,201285
20132214,CHANDPUR,201322
20134535,FARIDGANJ,201345
20134942,HAJIGANJ,201349
20135857,KACHUA,201358
20137671,MATLAB,201376
20137928,SENGARCHAR,201379
20139585,SHAHRASTI,201395
20150616,CHITTAGONG,201506
20150805,BANSHKHALI,201508
20151016,CHITTAGONG,201510
20151210,BOALKHALI,201512
20151812,CHANDANAISH,201518
20151916,CHITTAGONG,201519
20152016,CHITTAGONG,201520
20152816,CHITTAGONG,201528
20153322,FATIKCHHARI,201533
20153516,CHITTAGONG,201535
20153752,HATHAZARI,201537
20154116,CHITTAGONG,201541
20154316,CHITTAGONG,201543
20155308,BAROIAR HAT,201553
20155325,MIRSHARAI,201553
20155516,CHITTAGONG,201555
20155716,CHITTAGONG,201557
20156133,PATIYA,201561
20156516,CHITTAGONG,201565
20157041,RANGUNIA,201570
20157450,RAOZAN,201574
20157867,SANDWIP,201578
20158275,SATKANIA,201582
20158683,SITAKUNDA,201586
20190916,BARURA,201909
20192733,CHANDINA,201927
20193137,CHAUDDAGRAM,201931
20193350,COMILLA,201933
20193667,DAUDKANDI,201936
20194070,DEBIDWAR,201940
20195475,HOMNA,201954
20197283,LAKSAM,201972
20198787,NANGALKOT,201987
20221633,CHAKARIA,202216
20222466,COX'S BAZAR,202224
20224977,MAHESHKHALI,202249
20229088,TEKNAF,202290
20301415,CHHAGALNAIYA,203014
20302530,DAGANBHUIYAN,203025
20302950,FENI,203029
20305165,PARSHURAM,203051
20309480,SONAGAZI,203094
20464950,KHAGRACHHARI,204649
20467062,MATIRANGA,204670
20468075,RAMGARH,204680
20514325,LAKSHMIPUR,205143
20515850,ROYPUR,205158
20516575,RAMGANJ,205165
20517387,RAMGATI,205173
20750733,CHAUMOHANI,207507
20751050,CHATKHIL,207510
20752116,BASURHAT,207521
20753660,HATIYA,207536
20754766,KABIRHAT,207547
20758075,SENBAGH,207580
20758390,SONAIMURI,207583
20758783,NOAKHALI,207587
20840720,BAGHAICHHARI,208407
20848750,RANGAMATI,208487
10040920,AMTALI,100409
10042840,BARGUNA,100428
10044760,BETAGI,100447
10048580,PATHARGHATA,100485
10060716,BAKERGANJ,100607
10061033,BANARI PARA,100610
10063267,GAURNADI,100632
10065150,BARISAL,100651
10066283,MEHENDIGANJ,100662
10066987,MULADI,100669
10091816,BHOLA,100918
10092133,BURHANUDDIN,100921
10092550,CHAR FASSON,100925
10092967,DAULATKHAN,100929
10095483,LALMOHAN,100954
10424033,JHALOKATI,104240
10427366,NALCHITY,104273
10783816,BAUPHAL,107838
10785725,GALACHIPA,107857
10786650,KALAPARA,107866
10786660,KUAKATA,107866
10789575,PATUAKHALI,107895
10795825,MATHBARIA,107958
10798050,PIROJPUR,107980
10798775,SWARUPKATI,107987
